Site identification,Camera set date-time,Camera check date-time,Lure type,Species common name,Count of individuals,Observation date-time
Identification du Site,Appareil photo – la date et l’heure de l’installation,Appareil photo – la date et l’heure de la vérification,Type d’appât,Nom commun de l’espèce,Nombre d’individus,Date et heure de l’observation
1,9/5/2014 8:35,23/05/2014 16:35,Anis Oil,Black-tailed Deer,1,23/05/2014 7:43
1,9/5/2014 8:35,23/05/2014 16:35,Anis Oil,Black-tailed Deer,1,11/5/2014 18:28
1,9/5/2014 8:35,23/05/2014 16:35,Anis Oil,Black-tailed Deer,1,14/05/2014 22:33
1,9/5/2014 8:35,23/05/2014 16:35,Anis Oil,Black-tailed Deer,1,16/05/2014 19:29
1,9/5/2014 8:35,23/05/2014 16:35,Anis Oil,Black-tailed Deer,2,17/05/2014 21:06
1,9/5/2014 8:35,23/05/2014 16:35,Anis Oil,Black-tailed Deer,2,19/05/2014 7:54
1,9/5/2014 8:35,23/05/2014 16:35,Anis Oil,Black-tailed Deer,1,23/05/2014 10:25
1,9/5/2014 8:35,23/05/2014 16:35,Anis Oil,Black-tailed Deer,1,11/5/2014 8:24
1,25/06/2014 15:45,9/7/2014 16:55,Fish Oil,Black-tailed Deer,2,26/06/2014 9:14
1,25/06/2014 15:45,9/7/2014 16:55,Fish Oil,Black-tailed Deer,2,30/06/2014 7:50
1,25/06/2014 15:45,9/7/2014 16:55,Fish Oil,Black-tailed Deer,2,2/7/2014 10:59
1,25/06/2014 15:45,9/7/2014 16:55,Fish Oil,Black-tailed Deer,2,4/7/2014 12:23
1,25/06/2014 15:45,9/7/2014 16:55,Fish Oil,Black-tailed Deer,1,6/7/2014 16:15
1,25/06/2014 15:45,9/7/2014 16:55,Fish Oil,Black-tailed Deer,2,7/7/2014 10:22
1,25/06/2014 15:45,9/7/2014 16:55,Fish Oil,Black-tailed Deer,2,9/7/2014 12:11
1,7/8/2014 8:20,20/08/2014 16:45,Control,Black-tailed Deer,1,7/8/2014 10:12
1,7/8/2014 8:20,20/08/2014 16:45,Control,Black-tailed Deer,1,15/08/2014 17:46
1,7/8/2014 8:20,20/08/2014 16:45,Control,Black-tailed Deer,1,7/8/2014 12:27
1,9/6/2017 7:45,23/06/2017 8:10,Control,Black-tailed Deer,2,10/6/2017 8:28
1,9/6/2017 7:45,23/06/2017 8:10,Control,Black-tailed Deer,1,11/6/2017 5:49
1,9/6/2017 7:45,23/06/2017 8:10,Control,Black-tailed Deer,1,16/06/2017 19:44
1,9/6/2017 7:45,23/06/2017 8:10,Control,Black-tailed Deer,2,17/06/2017 7:07
1,9/6/2017 7:45,23/06/2017 8:10,Control,Black-tailed Deer,1,9/6/2017 9:43
1,20/07/2017 15:55,3/8/2017 16:15,Control,Black-tailed Deer,1,27/07/2017 9:11
1,20/07/2017 15:55,3/8/2017 16:15,Control,Black-tailed Deer,1,1/8/2017 8:01
1,20/07/2017 15:55,3/8/2017 16:15,Control,Black-tailed Deer,1,1/8/2017 11:05
1,20/07/2017 15:55,3/8/2017 16:15,Control,Black-tailed Deer,1,1/8/2017 8:48
1,20/07/2017 15:55,3/8/2017 16:15,Control,Black-tailed Deer,1,31/07/2017 6:47
1,20/07/2017 15:55,3/8/2017 16:15,Control,Black-tailed Deer,1,31/07/2017 5:42
1,20/07/2017 15:55,3/8/2017 16:15,Control,Black-tailed Deer,1,26/07/2017 16:27
1,20/07/2017 15:55,3/8/2017 16:15,Control,Black-tailed Deer,1,1/8/2017 8:38
1,20/07/2017 15:55,3/8/2017 16:15,Control,Black-tailed Deer,1,31/07/2017 8:52
1,6/8/2015 13:30,20/08/2015 16:00,Control,Black-tailed Deer,1,16/08/2015 6:13
1,6/8/2015 13:30,20/08/2015 16:00,Control,Wolf,1,17/08/2015 15:25
1,6/8/2015 13:30,20/08/2015 16:00,Control,Wolf,1,17/08/2015 15:27
1,6/8/2015 13:30,20/08/2015 16:00,Control,Black-tailed Deer,1,9/8/2015 16:48
1,6/8/2015 13:30,20/08/2015 16:00,Control,Black-tailed Deer,2,15/08/2015 7:27
1,6/8/2015 13:30,20/08/2015 16:00,Control,Black-tailed Deer,2,17/08/2015 9:26
1,6/8/2015 13:30,20/08/2015 16:00,Control,Black-tailed Deer,1,17/08/2015 15:26
1,31/08/2017 6:55,14/09/2017 13:30,Control,Black-tailed Deer,2,3/9/2017 11:05
1,31/08/2017 6:55,14/09/2017 13:30,Control,Black-tailed Deer,1,31/08/2017 20:27
1,31/08/2017 6:55,14/09/2017 13:30,Control,Black-tailed Deer,1,3/9/2017 3:50
1,31/08/2017 6:55,14/09/2017 13:30,Control,Black-tailed Deer,1,4/9/2017 8:04
1,31/08/2017 6:55,14/09/2017 13:30,Control,Black-tailed Deer,1,11/9/2017 15:39
1,11/5/2015 13:45,27/05/2015 7:40,Fish Oil,Black-tailed Deer,1,13/05/2015 11:02
1,11/5/2015 13:45,27/05/2015 7:40,Fish Oil,Black-tailed Deer,1,25/05/2015 11:31
1,11/5/2015 13:45,27/05/2015 7:40,Fish Oil,Black-tailed Deer,1,24/05/2015 6:44
1,11/5/2015 13:45,27/05/2015 7:40,Fish Oil,Wolf,1,20/05/2015 10:58
1,11/5/2015 13:45,27/05/2015 7:40,Fish Oil,Black-tailed Deer,1,19/05/2015 20:18
1,11/5/2015 13:45,27/05/2015 7:40,Fish Oil,Black-tailed Deer,1,15/05/2015 13:16
1,11/5/2015 13:45,27/05/2015 7:40,Fish Oil,Black-tailed Deer,1,11/5/2015 17:32
1,11/5/2015 13:45,27/05/2015 7:40,Fish Oil,Wolf,1,19/05/2015 7:27
1,30/06/2015 7:50,9/7/2015 7:35,Anis Oil,Black-tailed Deer,1,3/7/2015 8:38
2,5/6/2014 8:40,24/06/2014 13:37,Fish Oil,Black Bear,1,9/6/2014 6:03
2,5/6/2014 8:40,24/06/2014 13:37,Fish Oil,Black Bear,1,12/6/2014 19:38
2,24/07/2014 13:00,6/8/2014 13:05,Control,Black Bear,2,26/07/2014 14:22
2,20/07/2017 10:45,3/8/2017 12:45,Fish Oil,Black Bear,1,26/07/2017 17:20
2,24/07/2015 10:45,6/8/2015 15:45,Fish Oil,Black Bear,1,2/8/2015 14:16
2,24/07/2015 10:45,6/8/2015 15:45,Fish Oil,Black-tailed Deer,1,31/07/2015 10:32
2,24/07/2015 10:45,6/8/2015 15:45,Fish Oil,Pine Marten,1,4/8/2015 18:01
2,9/9/2015 11:05,23/09/2015 10:40,Control,Black Bear,1,17/09/2015 23:34
2,9/9/2015 11:05,23/09/2015 10:40,Control,Raccoon,1,22/09/2015 4:21
2,10/6/2015 10:45,29/06/2015 11:40,Anis Oil,Black Bear,1,27/06/2015 19:21
3,21/08/2014 9:55,3/9/2014 10:04,Anis Oil,Black Bear,1,25/08/2014 10:41
3,21/07/2017 11:35,3/8/2017 14:15,Control,Black Bear,2,29/07/2017 15:12
3,21/07/2017 11:35,3/8/2017 14:15,Control,Black-tailed Deer,1,30/07/2017 0:11
3,21/07/2017 11:35,3/8/2017 14:15,Control,Black Bear,1,1/8/2017 19:41
3,10/7/2015 14:30,23/07/2015 12:50,Fish Oil,Black Bear,1,17/07/2015 5:52
3,10/7/2015 14:30,23/07/2015 12:50,Fish Oil,Black Bear,1,20/07/2015 20:02
3,21/08/2015 15:20,8/9/2015 8:20,Control,Pine Marten,1,5/9/2015 23:32
3,21/08/2015 15:20,8/9/2015 8:20,Control,Red Squirrel,1,5/9/2015 10:03
3,28/05/2015 15:35,9/6/2015 15:00,Anis Oil,Black Bear,1,7/6/2015 14:26
3,26/05/2016 11:30,7/6/2016 15:00,Control,Black Bear,1,26/05/2016 13:43
3,26/05/2016 11:30,7/6/2016 15:00,Control,Black-tailed Deer,1,28/05/2016 13:30
3,26/05/2016 11:30,7/6/2016 15:00,Control,Black Bear,1,1/6/2016 12:44
4,8/5/2014 13:14,22/05/2014 8:40,Anis Oil,Black-tailed Deer,1,16/05/2014 5:17
4,24/06/2014 13:05,10/7/2014 13:45,Fish Oil,Black Bear,1,24/06/2014 16:48
4,6/8/2014 11:35,21/08/2014 13:45,Control,Wolf,1,6/8/2014 13:37
4,6/8/2014 11:35,21/08/2014 13:45,Control,Black Bear,1,15/08/2014 17:16
4,25/05/2017 14:15,8/6/2017 9:10,Control,Black Bear,1,30/05/2017 11:09
4,25/05/2017 14:15,8/6/2017 9:10,Control,Black Bear,1,30/05/2017 11:05
4,25/05/2017 14:15,8/6/2017 9:10,Control,Black Bear,1,1/6/2017 18:30
4,25/05/2017 14:15,8/6/2017 9:10,Control,Black-tailed Deer,1,8/6/2017 5:02
4,25/05/2017 14:15,8/6/2017 9:10,Control,Black Bear,1,30/05/2017 13:44
4,25/05/2017 14:15,8/6/2017 9:10,Control,Black Bear,1,29/05/2017 8:52
4,30/06/2015 16:10,9/7/2015 12:20,Anis Oil,Black-tailed Deer,1,7/7/2015 21:51
4,30/06/2015 16:10,9/7/2015 12:20,Anis Oil,Wolf,1,8/7/2015 12:42
4,17/08/2017 9:50,30/09/2017 13:40,Control,Black-tailed Deer,1,27/08/2017 4:06
4,17/08/2017 9:50,30/09/2017 13:40,Control,Black-tailed Deer,1,27/08/2017 4:02
4,11/5/2015 8:15,27/05/2015 14:00,Control,Black-tailed Deer,1,20/05/2015 21:32
4,11/5/2015 8:15,27/05/2015 14:00,Control,Black Bear,1,23/05/2015 12:26
5,23/05/2014 17:05,5/6/2014 15:05,Fish Oil,Raccoon,1,30/05/2014 4:53
5,23/05/2014 17:05,5/6/2014 15:05,Fish Oil,Black Bear,1,30/05/2014 7:06
5,21/08/2014 8:35,3/9/2014 11:30,Anis Oil,Black Bear,1,23/08/2014 5:52
5,10/7/2014 8:15,24/07/2014 10:40,Control,Black Bear,1,14/07/2014 18:14
5,10/7/2014 8:15,24/07/2014 10:40,Control,Black Bear,1,18/07/2014 4:57
5,23/06/2017 8:40,7/7/2017 7:10,Anis Oil,Black Bear,2,5/7/2017 12:30
5,4/8/2017 8:15,18/08/2017 8:15,Control,Black Bear,2,6/8/2017 6:29
